Country,Country Code,Year,Prevalence of stunting
Afghanistan,AFG,2020,
Albania,ALB,2020,
Algeria,DZA,2020,
Andorra,AND,2020,
Angola,AGO,2020,
Antigua and Barbuda,ATG,2020,
Argentina,ARG,2020,
Armenia,ARM,2020,
Australia,AUS,2020,
Austria,AUT,2020,
Azerbaijan,AZE,2020,
Bahamas,BHS,2020,
Bahrain,BHR,2020,
Bangladesh,BGD,2020,
Barbados,BRB,2020,
Belarus,BLR,2020,1.2
Belgium,BEL,2020,
Belize,BLZ,2020,
Benin,BEN,2020,
Bhutan,BTN,2020,
Bolivia,BOL,2020,
Bosnia and Herzegovina,BIH,2020,
Botswana,BWA,2020,
Brazil,BRA,2020,
Brunei,BRN,2020,
Bulgaria,BGR,2020,
Burkina Faso,BFA,2020,17.5
Burundi,BDI,2020,50.9
Cabo Verde,CPV,2020,
Cambodia,KHM,2020,
Cameroon,CMR,2020,
Canada,CAN,2020,
Central African Republic,CAF,2020,
Chad,TCD,2020,30.5
Chile,CHL,2020,
China,CHN,2020,
Colombia,COL,2020,
Comoros,COM,2020,
Congo,COG,2020,
Costa Rica,CRI,2020,
Croatia,HRV,2020,
Cuba,CUB,2020,
Cyprus,CYP,2020,
Czechia,CZE,2020,
Côte d'Ivoire,CIV,2020,
Democratic Republic of the Congo,COD,2020,
Denmark,DNK,2020,
Djibouti,DJI,2020,
Dominica,DMA,2020,
Dominican Republic,DOM,2020,
Ecuador,ECU,2020,
Egypt,EGY,2020,
El Salvador,SLV,2020,
Equatorial Guinea,GNQ,2020,
Eritrea,ERI,2020,
Estonia,EST,2020,
Eswatini,SWZ,2020,
Ethiopia,ETH,2020,
Fiji,FJI,2020,
Finland,FIN,2020,1.3
France,FRA,2020,
Gabon,GAB,2020,14.4
Gambia,GMB,2020,17.5
Georgia,GEO,2020,
Germany,DEU,2020,
Ghana,GHA,2020,
Greece,GRC,2020,
Grenada,GRD,2020,
Guatemala,GTM,2020,
Guinea,GIN,2020,
Guinea-Bissau,GNB,2020,
Guyana,GUY,2020,
Haiti,HTI,2020,
Honduras,HND,2020,
Hungary,HUN,2020,
Iceland,ISL,2020,
India,IND,2020,35.5
Indonesia,IDN,2020,
Iran,IRN,2020,
Iraq,IRQ,2020,
Ireland,IRL,2020,
Israel,ISR,2020,
Italy,ITA,2020,
Jamaica,JAM,2020,
Japan,JPN,2020,
Jordan,JOR,2020,
Kazakhstan,KAZ,2020,
Kenya,KEN,2020,
Kiribati,KIR,2020,
Kuwait,KWT,2020,3.8
Kyrgyzstan,KGZ,2020,
Laos,LAO,2020,
Latvia,LVA,2020,
Lebanon,LBN,2020,
Lesotho,LSO,2020,
Liberia,LBR,2020,
Libya,LBY,2020,
Liechtenstein,LIE,2020,
Lithuania,LTU,2020,
Luxembourg,LUX,2020,
Madagascar,MDG,2020,
Malawi,MWI,2020,35.5
Malaysia,MYS,2020,
Maldives,MDV,2020,
Mali,MLI,2020,23.0
Malta,MLT,2020,
Marshall Islands,MHL,2020,
Mauritania,MRT,2020,25.8
Mauritius,MUS,2020,
Mexico,MEX,2020,13.9
Micronesia,FSM,2020,
Moldova,MDA,2020,
Monaco,MCO,2020,
Mongolia,MNG,2020,
Montenegro,MNE,2020,
Morocco,MAR,2020,
Mozambique,MOZ,2020,37.5
Myanmar,MMR,2020,
Namibia,NAM,2020,
Nauru,NRU,2020,
Nepal,NPL,2020,
Netherlands,NLD,2020,
New Zealand,NZL,2020,
Nicaragua,NIC,2020,
Niger,NER,2020,45.3
Nigeria,NGA,2020,31.5
North Korea,PRK,2020,
North Macedonia,MKD,2020,
Norway,NOR,2020,
Oman,OMN,2020,
Pakistan,PAK,2020,
Palau,PLW,2020,
Palestine,,2020,
Panama,PAN,2020,
Papua New Guinea,PNG,2020,
Paraguay,PRY,2020,
Peru,PER,2020,11.4
Philippines,PHL,2020,
Poland,POL,2020,
Portugal,PRT,2020,
Qatar,QAT,2020,
Romania,ROU,2020,
Russia,RUS,2020,
Rwanda,RWA,2020,33.1
Saint Kitts and Nevis,KNA,2020,
Saint Lucia,LCA,2020,
Saint Vincent and the Grenadines,VCT,2020,
Samoa,WSM,2020,
San Marino,SMR,2020,
Sao Tome and Principe,STP,2020,
Saudi Arabia,SAU,2020,10.8
Senegal,SEN,2020,
Serbia,SRB,2020,
Seychelles,SYC,2020,
Sierra Leone,SLE,2020,
Singapore,SGP,2020,
Slovakia,SVK,2020,
Slovenia,SVN,2020,
Solomon Islands,SLB,2020,
Somalia,,2020,
South Africa,ZAF,2020,
South Korea,KOR,2020,0.9
South Sudan,SSD,2020,
Spain,ESP,2020,
Sri Lanka,LKA,2020,8.2
Sudan,SDN,2020,
Suriname,SUR,2020,
Sweden,SWE,2020,
Switzerland,CHE,2020,
Syria,SYR,2020,
Tajikistan,TJK,2020,
Tanzania,TZA,2020,
Thailand,THA,2020,
Timor-Leste,TLS,2020,46.7
Togo,TGO,2020,
Tonga,TON,2020,
Trinidad and Tobago,TTO,2020,
Tunisia,TUN,2020,
Turkmenistan,TKM,2020,
Tuvalu,TUV,2020,
Türkiye,TUR,2020,
Uganda,UGA,2020,25.4
Ukraine,UKR,2020,
United Arab Emirates,ARE,2020,
United Kingdom,GBR,2020,
United States,USA,2020,
Uruguay,URY,2020,
Uzbekistan,UZB,2020,
Vanuatu,VUT,2020,
Vatican City,,2020,
Venezuela,VEN,2020,
Vietnam,VNM,2020,19.5
Yemen,YEM,2020,
Zambia,ZMB,2020,
Zimbabwe,ZWE,2020,
